,Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
92400,2020-09-15,All-items,2,136.9,1.0,0.0,,
92700,2020-10-15,All-items,2,137.5,1.0,0.0,,
93000,2020-11-15,All-items,2,137.7,1.0,0.0,,
93300,2020-12-15,All-items,2,137.4,1.0,0.0,,
93600,2021-01-15,All-items,2,138.2,1.0,0.0,,
93900,2021-02-15,All-items,2,138.9,1.0,0.0,,
94200,2021-03-15,All-items,2,139.6,1.0,0.0,,
94500,2021-04-15,All-items,2,140.3,1.0,0.0,,
94800,2021-05-15,All-items,2,141,1.0,0.0,,
95100,2021-06-15,All-items,2,141.4,1.0,0.0,,
95400,2021-07-15,All-items,2,142.3,1.0,0.0,,
95700,2021-08-15,All-items,2,142.6,1.0,0.0,,
96000,2021-09-15,All-items,2,142.9,1.0,0.0,,
96300,2021-10-15,All-items,2,143.9,1.0,0.0,,
96600,2021-11-15,All-items,2,144.2,1.0,0.0,,
96900,2021-12-15,All-items,2,144,1.0,0.0,,
97200,2022-01-15,All-items,2,145.3,1.0,0.0,,
97500,2022-02-15,All-items,2,146.8,1.0,0.0,,
97800,2022-03-15,All-items,2,148.9,1.0,0.0,,
98100,2022-04-15,All-items,2,149.8,1.0,0.0,,
98400,2022-05-15,All-items,2,151.9,1.0,0.0,,
98700,2022-06-15,All-items,2,152.9,1.0,0.0,,
99000,2022-07-15,All-items,2,153.1,1.0,0.0,,
99300,2022-08-15,All-items,2,152.6,1.0,0.0,,
99600,2022-09-15,All-items,2,152.7,1.0,0.0,,
99900,2022-10-15,All-items,2,153.8,1.0,0.0,,
100200,2022-11-15,All-items,2,154,1.0,0.0,,
100500,2022-12-15,All-items,2,153.1,1.0,0.0,,
100800,2023-01-15,All-items,2,153.9,1.0,0.0,,
101100,2023-02-15,All-items,2,154.5,1.0,0.0,,
64801,2013-01-15,Food,3,131.6,5.331384809795948e-16,1.0,All-items,2.0
65101,2013-02-15,Food,3,132.9,5.331384809795948e-16,1.0,All-items,2.0
65401,2013-03-15,Food,3,132.4,5.331384809795948e-16,1.0,All-items,2.0
65701,2013-04-15,Food,3,132.1,5.331384809795948e-16,1.0,All-items,2.0
66001,2013-05-15,Food,3,132.6,5.331384809795948e-16,1.0,All-items,2.0
66301,2013-06-15,Food,3,132.5,5.331384809795948e-16,1.0,All-items,2.0
66601,2013-07-15,Food,3,132.7,5.331384809795948e-16,1.0,All-items,2.0
66901,2013-08-15,Food,3,133,5.331384809795948e-16,1.0,All-items,2.0
67201,2013-09-15,Food,3,131.9,5.331384809795948e-16,1.0,All-items,2.0
67501,2013-10-15,Food,3,131.7,5.331384809795948e-16,1.0,All-items,2.0
67801,2013-11-15,Food,3,132.8,5.331384809795948e-16,1.0,All-items,2.0
68101,2013-12-15,Food,3,132.5,5.331384809795948e-16,1.0,All-items,2.0
68401,2014-01-15,Food,3,133,5.331384809795948e-16,1.0,All-items,2.0
68701,2014-02-15,Food,3,134.3,5.331384809795948e-16,1.0,All-items,2.0
69001,2014-03-15,Food,3,134.4,5.331384809795948e-16,1.0,All-items,2.0
69301,2014-04-15,Food,3,134.6,5.331384809795948e-16,1.0,All-items,2.0
69601,2014-05-15,Food,3,135.7,5.331384809795948e-16,1.0,All-items,2.0
69901,2014-06-15,Food,3,136.4,5.331384809795948e-16,1.0,All-items,2.0
70201,2014-07-15,Food,3,136.5,5.331384809795948e-16,1.0,All-items,2.0
70501,2014-08-15,Food,3,135.9,5.331384809795948e-16,1.0,All-items,2.0
70801,2014-09-15,Food,3,135.5,5.331384809795948e-16,1.0,All-items,2.0
71101,2014-10-15,Food,3,135.4,5.331384809795948e-16,1.0,All-items,2.0
71401,2014-11-15,Food,3,136.9,5.331384809795948e-16,1.0,All-items,2.0
71701,2014-12-15,Food,3,137.4,5.331384809795948e-16,1.0,All-items,2.0
72001,2015-01-15,Food,3,139.1,5.331384809795948e-16,1.0,All-items,2.0
72301,2015-02-15,Food,3,139.5,5.331384809795948e-16,1.0,All-items,2.0
72601,2015-03-15,Food,3,139.5,5.331384809795948e-16,1.0,All-items,2.0
72901,2015-04-15,Food,3,139.4,5.331384809795948e-16,1.0,All-items,2.0
