Category,Indent,MSE,RMSE
Vehicle parts and equipment other than tires,6.0,23.01099690566717,4.79697789297253
Veterinarian services,6.0,0.9744288513389188,0.9871316281727168
Whiskey at home,6.0,0.5526509940372536,0.7434050000082415
Wireless telephone services,6.0,0.34741264568954666,0.5894172085115489
Women’s dresses,6.0,7.952666978049654,2.8200473361363376
Women’s outerwear,6.0,6.650114815815903,2.578781653381283
Women’s suits and separates,6.0,3.0083463708702194,1.7344585238252943
"Women’s underwear, nightwear, sportswear and accessories",6.0,2.893817028984155,1.7011222851353618
Alcoholic beverages,3.0,0.09005975763517209,0.3000995795318149
Apparel,3.0,0.5057320124513963,0.7111483758340423
Cereals and bakery products,3.0,0.7364360458026598,0.858158520206296
Dairy and related products,3.0,1.0978647328599045,1.0477904050237836
Education and communication commodities,3.0,1.1984344024640143,1.0947302875430158
Electricity,3.0,1.2163147187495325,1.1028665915465625
Food from vending machines and mobile vendors,3.0,1.8935789931222304,1.3760737600587516
Fruits and vegetables,3.0,0.7366456798473231,0.8582806533106307
Fuel oil and other fuels,3.0,32.569065605020306,5.706931365017483
Full service meals and snacks,3.0,0.09647992908900496,0.3106121843859396
Household furnishings and supplies,3.0,0.34088851602422643,0.5838565885765326
Information and information processing,3.0,0.24075022089874587,0.4906630421162224
"Information technology, hardware and services",3.0,0.40830331219474014,0.6389861596269047
Limited service meals and snacks,3.0,0.07546653043146127,0.2747117224136263
"Meats, poultry, fish, and eggs",3.0,0.9823772264224224,0.9911494470676067
Medical care commodities,3.0,0.13061990268779122,0.36141375553206495
Motor fuel,3.0,45.8619877246239,6.772147940249378
New and used motor vehicles,3.0,2.1097864797524553,1.4525104060737242
Nonalcoholic beverages and beverage materials,3.0,1.009830846666485,1.0049034016593261
Other food at home,3.0,0.5446540267453523,0.7380067931566432
Other food away from home,3.0,0.505033311750901,0.7106569578572358
Other goods,3.0,0.114701627561725,0.3386762872740355
Recreation commodities,3.0,0.33861114526553837,0.5819030376837179
Shelter,3.0,0.02157014918518005,0.14686779492175964
Transportation commodities less motor fuel,3.0,1.9964886281291716,1.4129715595613281
Alcoholic beverages at home,4.0,0.1399323926171077,0.3740753836021661
Alcoholic beverages away from home,4.0,0.1379545044986322,0.3714222724859566
Appliances,4.0,0.96463101169318,0.9821563071594969
Beverage materials including coffee and tea,4.0,1.974903439989556,1.4053125773256125
Cereals and cereal products,4.0,1.6180975031668665,1.2720446152422746
Cheese and related products,4.0,0.7541591535319145,0.868423372285612
Education and communication services,4.0,0.141484217903662,0.37614387925853854
Educational books and supplies,4.0,1.0530856470694376,1.0261996136568352
Fats and oils,4.0,1.530166944148572,1.2369991690169286
Footwear,4.0,0.6735844816126754,0.8207219270938698
Fresh fruits and vegetables,4.0,0.9663807920403731,0.9830466886371029
Fuel oil,4.0,90.25923712443864,9.500486152004994
Furniture and bedding,4.0,1.229476797253612,1.108817747537264
Gasoline all types,4.0,29.442186135176662,5.4260654377897675
Housekeeping supplies,4.0,0.4062462585891419,0.6373745041881906
Ice cream and related products,4.0,1.9498437797502217,1.396368067434307
Infants’ and toddlers’ apparel,4.0,3.962862736261319,1.9906940338136645
Information technology commodities,4.0,1.2998002438265508,1.1400878228568845
Jewelry and watches,4.0,4.827428190519977,2.1971409127591195
Juices and nonalcoholic drinks,4.0,0.9020682773437853,0.9497727503691529
Medical care services,4.0,0.18559531584549233,0.4308077481261129
Medical equipment and supplies,4.0,1.1630563775127971,1.0784509156715465
Medicinal drugs,4.0,0.18727140297657652,0.4327486602828211
Men’s and boys’ apparel,4.0,1.2564761164006535,1.12092645450121
Milk,4.0,2.026114795680875,1.4234165924566409
Miscellaneous personal goods,4.0,2.5253624841633435,1.5891389127962803
New vehicles,4.0,0.38268354304526897,0.6186142118035027
Other dairy and related products,4.0,1.7670331353791902,1.3292979859230925
Other household equipment and furnishings,4.0,1.1429917295493452,1.0691079129579695
Other motor fuels,4.0,26.803555230958246,5.177215007217514
Other personal services,4.0,0.24939577806959548,0.49939541254360303
Other recreational goods,4.0,0.982804329002319,0.9913648818685877
Personal care products,4.0,0.38342044676388604,0.6192095338121709
Pets and pet products,4.0,0.3966594295093206,0.6298090420987306
